,robotId,x,y,time
84,1291079,77.625,46.575,1559318403000
93,1291079,78.775,46.575,1559318410000
104,1291079,79.925,46.575,1559318411000
114,1291079,81.075,46.575,1559318412000
133,1291079,82.225,46.575,1559318413000
206,1291079,83.375,46.575,1559318415000
214,1291079,83.375,47.925,1559318422000
225,1291079,83.375,49.275,1559318422000
235,1291079,83.375,50.625,1559318423000
245,1291079,83.375,51.975,1559318425000
257,1291079,83.375,53.325,1559318426000
282,1291079,83.375,54.675,1559318427000
335,1291079,83.375,56.025,1559318430000
351,1291079,84.525,56.025,1559318435000
362,1291079,85.675,56.025,1559318436000
372,1291079,86.825,56.025,1559318437000
391,1291079,87.975,56.025,1559318438000
399,1291079,89.125,56.025,1559318440000
407,1291079,90.275,56.025,1559318440000
419,1291079,91.425,56.025,1559318441000
432,1291079,92.575,56.025,1559318442000
444,1291079,93.725,56.025,1559318443000
451,1291079,94.875,56.025,1559318445000
462,1291079,96.025,56.025,1559318445000
469,1291079,97.175,56.025,1559318447000
479,1291079,98.325,56.025,1559318448000
489,1291079,99.475,56.025,1559318449000
496,1291079,100.625,56.025,1559318450000
505,1291079,101.775,56.025,1559318451000
528,1291079,102.925,56.025,1559318452000
577,1291079,104.075,56.025,1559318454000
590,1291079,104.075,54.675,1559318460000
607,1291079,104.075,53.325,1559318462000
652,1291079,104.075,51.975,1559318464000
671,1291079,102.925,51.975,1559318470000
719,1291079,101.775,51.975,1559318473000
1124,1291079,101.775,50.625,1559318480000
1140,1291079,101.775,51.975,1559318530000
1295,1291079,101.775,53.325,1559318532000
1360,1291079,101.775,51.975,1559318553000
1370,1291079,100.625,51.975,1559318560000
1377,1291079,99.475,51.975,1559318561000
1393,1291079,98.325,51.975,1559318562000
1400,1291079,97.175,51.975,1559318563000
1410,1291079,96.025,51.975,1559318564000
1420,1291079,94.875,51.975,1559318565000
1430,1291079,93.725,51.975,1559318566000
1448,1291079,92.575,51.975,1559318567000
1497,1291079,91.425,51.975,1559318570000
1506,1291079,91.425,50.625,1559318575000
1518,1291079,91.425,49.275,1559318576000
1529,1291079,91.425,47.925,1559318578000
1535,1291079,91.425,46.575,1559318579000
1541,1291079,91.425,45.225,1559318580000
1553,1291079,91.425,43.875,1559318581000
1570,1291079,91.425,42.525,1559318582000
1584,1291079,91.425,41.175,1559318584000
1611,1291079,91.425,39.825,1559318586000
1631,1291079,91.425,38.475,1559318589000
1665,1291079,91.425,37.125,1559318591000
1672,1291079,91.425,35.775,1559318596000
1681,1291079,91.425,34.425,1559318598000
1689,1291079,91.425,33.075,1559318599000
1693,1291079,91.425,31.725,1559318600000
1701,1291079,91.425,30.375,1559318601000
1718,1291079,91.425,29.025,1559318602000
1770,1291079,91.425,27.675,1559318605000
1781,1291079,90.275,27.675,1559318610000
1793,1291079,89.125,27.675,1559318612000
1804,1291079,87.975,27.675,1559318613000
1812,1291079,86.825,27.675,1559318614000
1821,1291079,85.675,27.675,1559318615000
1832,1291079,84.525,27.675,1559318616000
1840,1291079,83.375,27.675,1559318617000
1855,1291079,82.225,27.675,1559318617000
1886,1291079,81.075,27.675,1559318619000
2055,1291079,79.925,27.675,1559318621000
2267,1291079,79.925,30.375,1559318639000
2268,1291079,78.775,29.025,1559318660000
2269,1291079,79.925,29.025,1559318660000
2270,1291079,78.775,30.375,1559318660000
2362,1291079,78.775,27.675,1559318660000
2448,1291079,77.625,27.675,1559318667000
2475,1291079,77.625,29.025,1559318674000
2536,1291079,77.625,30.375,1559318676000
2579,1291079,77.625,31.725,1559318685000
2590,1291079,78.775,31.725,1559318691000
2609,1291079,79.925,31.725,1559318692000
2612,1291079,81.075,31.725,1559318693000
2621,1291079,82.225,31.725,1559318694000
2629,1291079,83.375,31.725,1559318695000
2653,1291079,84.525,31.725,1559318696000
2719,1291079,85.675,31.725,1559318699000
2731,1291079,85.675,33.075,1559318705000
2739,1291079,85.675,34.425,1559318706000
2751,1291079,85.675,35.775,1559318707000
2765,1291079,85.675,37.125,1559318708000
2799,1291079,85.675,38.475,1559318710000
2862,1291079,85.675,39.825,1559318712000
2874,1291079,86.825,39.825,1559318718000
2884,1291079,87.975,39.825,1559318719000
2893,1291079,89.125,39.825,1559318721000
2907,1291079,90.275,39.825,1559318721000
2917,1291079,91.425,39.825,1559318723000
2934,1291079,92.575,39.825,1559318723000
2950,1291079,93.725,39.825,1559318725000
2960,1291079,94.875,39.825,1559318726000
2980,1291079,96.025,39.825,1559318727000
3030,1291079,97.175,39.825,1559318729000
3040,1291079,97.175,41.175,1559318735000
3047,1291079,97.175,42.525,1559318737000
3054,1291079,97.175,43.875,1559318738000
3082,1291079,97.175,45.225,1559318739000
3134,1291079,97.175,46.575,1559318741000
3144,1291079,97.175,47.925,1559318748000
3153,1291079,97.175,49.275,1559318749000
3173,1291079,97.175,50.625,1559318750000
3197,1291079,97.175,51.975,1559318753000
3246,1291079,97.175,53.325,1559318755000
3266,1291079,97.175,54.675,1559318761000
3322,1291079,97.175,56.025,1559318763000
3332,1291079,98.325,56.025,1559318769000
